iter	Passed	Remaining
0	94	28174
1	125	18745
2	152	15137
3	185	13746
4	205	12132
5	225	11051
6	240	10047
7	260	9509
8	278	9009
9	295	8583
10	318	8373
11	333	8001
12	348	7692
13	361	7383
14	376	7161
15	395	7020
16	404	6726
17	417	6539
18	428	6338
19	445	6235
20	454	6040
21	463	5856
22	477	5754
23	486	5597
24	499	5494
25	512	5396
26	521	5276
27	537	5218
28	548	5125
29	554	4993
30	563	4892
31	571	4786
32	580	4695
33	584	4572
34	593	4493
35	600	4404
36	603	4290
37	611	4218
38	614	4109
39	619	4027
40	634	4006
41	644	3958
42	653	3907
43	663	3859
44	669	3792
45	681	3762
46	690	3716
47	705	3706
48	714	3657
49	721	3608
50	730	3567
51	738	3522
52	751	3501
53	767	3494
54	777	3464
55	785	3421
56	796	3397
57	807	3370
58	825	3371
59	841	3364
60	853	3345
61	870	3342
62	881	3316
63	896	3306
64	904	3271
65	913	3238
66	919	3196
67	930	3175
68	941	3151
69	947	3114
70	954	3077
71	959	3038
72	965	3000
73	975	2979
74	989	2969
75	998	2942
76	1016	2942
77	1025	2918
78	1032	2888
79	1038	2855
80	1045	2827
81	1052	2798
82	1058	2766
83	1064	2736
84	1075	2719
85	1088	2709
86	1097	2687
87	1103	2657
88	1113	2640
89	1130	2637
90	1143	2627
91	1156	2613
92	1163	2589
93	1174	2573
94	1183	2554
95	1199	2549
96	1213	2539
97	1226	2528
98	1243	2523
99	1255	2511
100	1270	2502
101	1283	2491
102	1292	2472
103	1312	2473
104	1321	2454
105	1330	2435
106	1338	2413
107	1347	2395
108	1365	2392
109	1375	2375
110	1381	2352
111	1388	2330
112	1394	2308
113	1400	2285
114	1407	2263
115	1419	2252
116	1428	2234
117	1438	2218
118	1447	2201
119	1458	2187
120	1465	2167
121	1472	2148
122	1479	2129
123	1490	2115
124	1498	2097
125	1506	2081
126	1518	2068
127	1525	2049
128	1533	2032
129	1541	2015
130	1552	2002
131	1561	1986
132	1571	1973
133	1582	1960
134	1593	1947
135	1605	1935
136	1612	1918
137	1619	1901
138	1629	1887
139	1644	1879
140	1656	1868
141	1663	1851
142	1671	1835
143	1680	1820
144	1689	1805
145	1704	1798
146	1713	1783
147	1723	1769
148	1734	1757
149	1745	1745
150	1753	1730
151	1760	1713
152	1765	1696
153	1771	1679
154	1775	1660
155	1783	1646
156	1793	1633
157	1806	1623
158	1819	1613
159	1830	1601
160	1840	1588
161	1852	1578
162	1858	1562
163	1866	1547
164	1876	1535
165	1885	1522
166	1892	1506
167	1900	1493
168	1912	1482
169	1922	1470
170	1929	1455
171	1939	1443
172	1948	1430
173	1961	1420
174	1975	1410
175	1982	1396
176	1993	1385
177	2002	1372
178	2015	1362
179	2025	1350
180	2038	1340
181	2049	1329
182	2068	1322
183	2077	1309
184	2091	1300
185	2100	1287
186	2113	1277
187	2124	1265
188	2139	1256
189	2149	1244
190	2161	1233
191	2168	1220
192	2181	1209
193	2195	1199
194	2210	1190
195	2228	1182
196	2244	1173
197	2252	1160
198	2263	1148
199	2273	1136
200	2289	1127
201	2303	1117
202	2314	1105
203	2332	1097
204	2348	1088
205	2365	1079
206	2382	1070
207	2399	1061
208	2413	1050
209	2422	1038
210	2431	1025
211	2444	1014
212	2452	1001
213	2459	988
214	2468	975
215	2480	964
216	2490	952
217	2494	938
218	2506	926
219	2520	916
220	2532	905
221	2544	894
222	2554	882
223	2571	872
224	2584	861
225	2604	852
226	2614	840
227	2627	829
228	2635	817
229	2642	804
230	2651	791
231	2661	780
232	2673	768
233	2686	757
234	2701	747
235	2709	734
236	2724	724
237	2737	713
238	2747	701
239	2759	689
240	2767	677
241	2775	665
242	2783	652
243	2793	641
244	2806	629
245	2822	619
246	2837	608
247	2845	596
248	2860	585
249	2870	574
250	2877	561
251	2887	549
252	2895	537
253	2912	527
254	2920	515
255	2932	503
256	2944	492
257	2954	480
258	2974	470
259	2994	460
260	3010	449
261	3026	438
262	3043	428
263	3057	416
264	3073	405
265	3086	394
266	3102	383
267	3117	372
268	3135	361
269	3149	349
270	3156	337
271	3163	325
272	3172	313
273	3179	301
274	3183	289
275	3191	277
276	3198	265
277	3207	253
278	3214	241
279	3221	230
280	3229	218
281	3237	206
282	3248	195
283	3255	183
284	3266	171
285	3273	160
286	3280	148
287	3286	136
288	3294	125
289	3301	113
290	3308	102
291	3315	90
292	3327	79
293	3335	68
294	3344	56
295	3355	45
296	3363	33
297	3371	22
298	3379	11
299	3386	0
